original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.5740000000000001,0.36,0.49000000000000005,0.6519999999999999,"[0.35, 0.32, 1.0, 0.48, 0.72]","[0.5, 0.5, 0.0, 0.0, 0.8]","[0.5, 0.6, 0.5, 0.6, 0.25]","[0.76, 0.7, 0.0, 1.0, 0.8]"
"The Mona Lisa was actually painted in 1507, not 1503 as commonly believed.","The Mona Lisa was not actually painted in 1507, but rather in 1503 as commonly believed.","The Mona Lisa was actually painted in 1507, not 1503 as commonly believed, and it was completed in a single year rather than over several years.",The Mona Lisa was painted in the early 1500s.,0.374,0.32,0.508,0.65,"[0.7, 0.5, 0.0, 0.67, 0.0]","[0.5, 0.7, 0.0, 0.0, 0.4]","[0.3, 0.34, 0.7, 0.4, 0.8]","[0.8, 0.5, 0.5, 0.75, 0.7]"
Dinosaurs were warm-blooded creatures.,Dinosaurs were not warm-blooded creatures.,Most dinosaurs were warm-blooded creatures that lived in temperate climates.,Some dinosaurs were warm-blooded creatures.,0.7280000000000001,0.36,0.48,0.5199999999999999,"[0.5, 1.0, 0.7, 0.7, 0.74]","[0.0, 0.4, 0.25, 0.65, 0.5]","[1.0, 0.5, 0.4, 0.0, 0.5]","[0.7, 0.7, 0.7, 0.0, 0.5]"
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.5599999999999999,0.51,0.45,0.63,"[0.7, 0.3, 0.3, 0.5, 1.0]","[0.75, 0.4, 0.0, 0.9, 0.5]","[0.5, 0.75, 0.5, 0.5, 0.0]","[0.85, 0.65, 0.75, 0.3, 0.6]"
There is life on other planets within our galaxy.,There is not life on other planets within our galaxy.,There is intelligent life on other planets within our galaxy.,There is life on other planets.,0.37,0.45600000000000007,0.34199999999999997,0.504,"[0.6, 0.25, 0.4, 0.0, 0.6]","[0.3, 0.33, 0.25, 0.6, 0.8]","[0.0, 0.76, 0.2, 0.0, 0.75]","[0.6, 0.5, 0.5, 0.42, 0.5]"
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.7040000000000001,0.61,0.656,0.392,"[0.63, 0.99, 0.7, 0.5, 0.7]","[0.75, 0.4, 0.5, 0.5, 0.9]","[0.5, 1.0, 0.5, 0.78, 0.5]","[0.45, 0.4, 0.78, 0.0, 0.33]"
"The building blocks of our universe are not matter and energy, but information.","The building blocks of our universe are matter and energy, not information.","The building blocks of our universe are not matter and energy, but information encoded in a specific quantum state.",The building blocks of our universe include information.,0.476,0.45199999999999996,0.26,0.73,"[0.5, 0.78, 0.3, 0.3, 0.5]","[0.35, 0.64, 0.37, 0.6, 0.3]","[0.5, 0.0, 0.5, 0.3, 0.0]","[0.5, 0.9, 1.0, 0.75, 0.5]"
"Shakespeare's play ""Henry VIII"" was co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was not co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was co-written by John Fletcher and was primarily written during the early 17th century.","Shakespeare's play ""Henry VIII"" was written by more than one person.",0.5,0.354,0.526,0.438,"[1.0, 0.5, 0.0, 0.5, 0.5]","[0.35, 0.0, 0.72, 0.2, 0.5]","[0.4, 0.77, 0.0, 0.6, 0.86]","[0.3, 0.0, 0.93, 0.5, 0.46]"
Life exists on planets other than Earth.,Life does not exist on planets other than Earth.,Life exists on planets other than Earth that have conditions similar to those on Earth.,Life exists on some planets.,0.488,0.41,0.454,0.098,"[0.76, 0.33, 0.5, 0.35, 0.5]","[0.5, 0.4, 0.5, 0.65, 0.0]","[0.67, 0.25, 0.0, 0.6, 0.75]","[0.0, 0.0, 0.0, 0.0, 0.49]"
"The painting ""Mona Lisa"" was originally created with eyebrows.","The painting ""Mona Lisa"" was not originally created with eyebrows.","The painting ""Mona Lisa"" was originally created with clearly defined eyebrows.","The painting ""Mona Lisa"" was originally created with some facial features.",0.616,0.41600000000000004,0.5519999999999999,0.7220000000000001,"[0.65, 0.63, 0.5, 0.5, 0.8]","[0.48, 0.5, 0.46, 0.3, 0.34]","[0.69, 0.0, 0.5, 0.7, 0.87]","[0.8, 0.8, 0.68, 0.5, 0.83]"
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.532,0.7300000000000001,0.508,0.66,"[0.2, 0.8, 0.4, 0.5, 0.76]","[0.8, 0.5, 0.8, 0.8, 0.75]","[0.7, 0.5, 0.0, 0.35, 0.99]","[0.75, 0.75, 0.7, 0.6, 0.5]"
There is life beyond Earth.,There is no life beyond Earth.,There is intelligent life beyond Earth.,There is life in the universe.,0.5800000000000001,0.5,0.3,0.58,"[0.5, 0.75, 0.0, 0.85, 0.8]","[0.0, 0.7, 0.25, 0.75, 0.8]","[0.0, 0.3, 0.5, 0.5, 0.2]","[0.0, 0.55, 0.85, 0.5, 1.0]"
There is likely life on other planets in the universe.,There is not likely life on other planets in the universe.,There is likely complex life on planets similar to Earth in the habitable zones of their stars in the universe.,There is life on some planets in the universe.,0.282,0.22000000000000003,0.446,0.27999999999999997,"[0.4, 0.21, 0.0, 0.3, 0.5]","[0.5, 0.0, 0.0, 0.6, 0.0]","[0.3, 0.8, 0.4, 0.33, 0.4]","[0.3, 0.3, 0.2, 0.0, 0.6]"
"The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has not been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France at least three times in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France.",0.49799999999999994,0.36,0.5900000000000001,0.366,"[0.73, 0.86, 0.5, 0.4, 0.0]","[0.0, 0.5, 0.5, 0.0, 0.8]","[0.8, 0.3, 0.6, 0.75, 0.5]","[0.0, 0.5, 0.0, 0.33, 1.0]"
There is water in the liquid state on Mars.,There is not water in the liquid state on Mars.,There is liquid water on the surface of Mars during the summer months.,There is water on Mars.,0.6799999999999999,0.32,0.49000000000000005,0.6140000000000001,"[0.75, 0.65, 0.5, 0.5, 1.0]","[0.5, 0.0, 0.5, 0.6, 0.0]","[0.0, 0.7, 0.75, 0.5, 0.5]","[1.0, 0.7, 0.5, 0.5, 0.37]"
Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution.,Oxygen levels in Earth's atmosphere are not decreasing marginally over time due to industrial pollution.,"Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution, with a reduction of at least 0.1% per decade.",Oxygen levels in Earth's atmosphere are changing over time.,0.6599999999999999,0.49000000000000005,0.356,0.25,"[0.55, 0.75, 0.25, 0.8, 0.95]","[0.6, 0.0, 0.5, 0.85, 0.5]","[0.0, 0.35, 0.66, 0.0, 0.77]","[0.75, 0.0, 0.0, 0.5, 0.0]"
There is liquid water under the ice cap of Mars.,There is not liquid water under the ice cap of Mars.,There is liquid water under the ice cap of Mars that is at least 1 meter deep.,There is water under the ice cap of Mars.,0.33799999999999997,0.6,0.40800000000000003,0.488,"[0.37, 0.44, 0.45, 0.43, 0.0]","[0.8, 0.6, 1.0, 0.6, 0.0]","[0.54, 0.0, 0.6, 0.5, 0.4]","[0.44, 0.6, 0.4, 0.5, 0.5]"
Most people prefer dogs over cats.,Most people do not prefer dogs over cats.,Most people prefer large dog breeds over cats.,Some people prefer dogs over cats.,0.426,0.512,0.496,0.458,"[0.65, 0.6, 0.55, 0.33, 0.0]","[0.6, 0.5, 0.36, 0.6, 0.5]","[0.5, 0.54, 0.0, 0.8, 0.64]","[0.75, 0.2, 0.8, 0.0, 0.54]"
Most of the world's chocolate is produced in West Africa.,Most of the world's chocolate is not produced in West Africa.,"Most of the world's chocolate is produced in West Africa, specifically in the countries of Côte d'Ivoire and Ghana.",A significant amount of the world's chocolate is produced in West Africa.,0.506,0.37,0.49000000000000005,0.44800000000000006,"[0.5, 0.6, 0.68, 0.0, 0.75]","[0.75, 0.0, 0.0, 0.3, 0.8]","[0.5, 0.4, 0.0, 0.66, 0.89]","[0.5, 0.74, 0.5, 0.0, 0.5]"
Bats are the primary natural reservoir for Ebola virus.,Bats are not the primary natural reservoir for Ebola virus.,Bats are the primary natural reservoir for the Zaire strain of the Ebola virus.,Bats are a natural reservoir for Ebola virus.,0.548,0.44000000000000006,0.326,0.49000000000000005,"[0.7, 0.0, 0.5, 0.79, 0.75]","[0.47, 0.0, 0.63, 0.5, 0.6]","[0.5, 0.33, 0.3, 0.5, 0.0]","[0.0, 0.3, 0.7, 0.7, 0.75]"
Caffeine intake can help improve cognitive performance in adults.,Caffeine intake cannot help improve cognitive performance in adults.,Caffeine intake can help improve cognitive performance in adults aged 18 to 35.,Caffeine intake can help improve cognitive performance.,0.49000000000000005,0.42800000000000005,0.5640000000000001,0.446,"[0.5, 0.35, 0.5, 0.5, 0.6]","[0.6, 0.54, 0.5, 0.5, 0.0]","[0.34, 0.4, 0.88, 0.7, 0.5]","[0.6, 0.0, 0.0, 0.63, 1.0]"
The health benefits of eating dark chocolate regularly includes improved heart health.,The health benefits of eating dark chocolate regularly do not include improved heart health.,The health benefits of eating dark chocolate regularly include improved heart health in individuals who consume at least 70% cocoa content.,The health benefits of eating dark chocolate include improved health.,0.54,0.26,0.5900000000000001,0.43,"[0.9, 0.0, 0.4, 0.5, 0.9]","[0.0, 0.4, 0.5, 0.4, 0.0]","[0.75, 0.7, 0.5, 0.5, 0.5]","[0.0, 0.4, 0.0, 0.75, 1.0]"
The average temperature of Earth's surface has increased by 1.62 degrees Fahrenheit since the end of the 19th century.,The average temperature of Earth's surface has not increased by 1.62 degrees Fahrenheit since the end of the 19th century.,"The average temperature of Earth's surface has increased by 1.62 degrees Fahrenheit since the end of the 19th century, with a significant portion of this increase occurring in urban areas.",The average temperature of Earth's surface has increased.,0.62,0.6,0.68,0.37,"[0.4, 0.6, 0.6, 1.0, 0.5]","[0.7, 0.8, 0.7, 0.4, 0.4]","[0.6, 0.5, 1.0, 0.5, 0.8]","[0.0, 0.5, 0.0, 0.75, 0.6]"
The Mona Lisa is the most visited artwork in the Louvre Museum.,The Mona Lisa is not the most visited artwork in the Louvre Museum.,"The Mona Lisa is the most visited artwork in the Louvre Museum, attracting over 10 million visitors annually.",The Mona Lisa is a highly visited artwork in the Louvre Museum.,0.53,0.41,0.6359999999999999,0.382,"[0.75, 0.5, 0.0, 0.7, 0.7]","[0.85, 0.0, 0.0, 0.6, 0.6]","[0.0, 0.98, 1.0, 0.7, 0.5]","[0.33, 0.63, 0.45, 0.5, 0.0]"
The heart is located on the left side of the human body.,The heart is not located on the left side of the human body.,"The heart is located on the left side of the human body, specifically in the left thoracic cavity.",The heart is located in the chest.,0.41200000000000003,0.5,0.64,0.45,"[0.0, 0.6, 0.96, 0.5, 0.0]","[0.7, 0.0, 0.5, 0.5, 0.8]","[0.45, 0.0, 0.9, 0.85, 1.0]","[0.0, 0.75, 0.75, 0.0, 0.75]"
Exercise helps in improving mental health.,Exercise does not help in improving mental health.,Regular aerobic exercise for at least 150 minutes per week significantly improves mental health in adults with diagnosed anxiety disorders.,Exercise helps in improving health.,0.316,0.7,0.618,0.252,"[0.0, 0.6, 0.63, 0.0, 0.35]","[1.0, 1.0, 0.0, 0.5, 1.0]","[0.75, 0.85, 0.0, 0.99, 0.5]","[0.0, 0.0, 0.63, 0.0, 0.63]"
The average human body contains approximately 25 trillion red blood cells.,The average human body does not contain approximately 25 trillion red blood cells.,The average human body contains approximately 25 trillion red blood cells in a healthy adult male.,The average human body contains a large number of red blood cells.,0.596,0.63,0.5,0.52,"[0.35, 0.75, 0.5, 0.75, 0.63]","[0.8, 0.8, 0.9, 0.65, 0.0]","[0.5, 0.7, 0.4, 0.4, 0.5]","[0.7, 0.5, 0.4, 0.5, 0.5]"
Julius Caesar had a pet bird.,Julius Caesar did not have a pet bird.,Julius Caesar had a pet parrot.,Julius Caesar had a pet.,0.43,0.32,0.612,0.446,"[0.0, 0.75, 0.8, 0.6, 0.0]","[0.0, 0.0, 0.8, 0.5, 0.3]","[0.99, 0.65, 0.77, 0.0, 0.65]","[0.43, 0.2, 0.0, 0.6, 1.0]"
"The painting ""Mona Lisa"" contains a hidden message.","The painting ""Mona Lisa"" does not contain a hidden message.","The painting ""Mona Lisa"" contains a hidden message that can only be revealed under ultraviolet light.","The painting ""Mona Lisa"" contains a message.",0.628,0.47000000000000003,0.26,0.538,"[0.8, 0.0, 0.8, 1.0, 0.54]","[0.8, 0.5, 0.8, 0.25, 0.0]","[0.0, 0.5, 0.5, 0.0, 0.3]","[0.5, 0.73, 0.5, 0.46, 0.5]"
An original copy of the U.S. Declaration of Independence is hidden somewhere in a suburban house in Indiana.,An original copy of the U.S. Declaration of Independence is not hidden anywhere in a suburban house in Indiana.,An original copy of the U.S. Declaration of Independence is hidden in a specific suburban house built before 1900 in Indiana.,An original copy of the U.S. Declaration of Independence is hidden somewhere in a house in Indiana.,0.48,0.176,0.5660000000000001,0.538,"[0.2, 0.75, 0.6, 0.5, 0.35]","[0.0, 0.38, 0.5, 0.0, 0.0]","[0.4, 0.5, 0.97, 0.46, 0.5]","[0.35, 0.84, 0.4, 0.6, 0.5]"
Dolphins have a longer lifespan than humans.,Dolphins do not have a longer lifespan than humans.,"Dolphins have a longer lifespan than humans, living on average over 60 years in the wild.",Dolphins have a long lifespan.,0.542,0.41600000000000004,0.398,0.54,"[0.0, 0.78, 0.75, 0.68, 0.5]","[0.6, 0.0, 0.49, 0.0, 0.99]","[0.44, 0.0, 0.0, 0.89, 0.66]","[0.5, 0.7, 0.5, 0.5, 0.5]"
"There are more than 2,000 languages spoken in Africa.","There are not more than 2,000 languages spoken in Africa.","There are more than 2,500 languages spoken in Africa.",There are many languages spoken in Africa.,0.484,0.44000000000000006,0.26,0.55,"[0.0, 0.7, 0.4, 0.5, 0.82]","[0.6, 0.2, 0.9, 0.5, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.8]","[0.6, 1.0, 0.65, 0.0, 0.5]"
There is a parrot in the living room of the house next door.,There is not a parrot in the living room of the house next door.,"There is a specific species of parrot, a blue-and-yellow macaw, in the living room of the house next door.",There is a bird in the living room of the house next door.,0.4,0.82,0.612,0.54,"[0.5, 0.0, 0.78, 0.0, 0.72]","[0.6, 0.7, 1.0, 1.0, 0.8]","[0.5, 0.66, 0.7, 0.8, 0.4]","[0.4, 0.0, 0.5, 0.8, 1.0]"
There are more than 300 species of octopus.,There are not more than 300 species of octopus.,"There are more than 300 species of octopus, with at least 50 of them being found in the Pacific Ocean.",There are many species of octopus.,0.49399999999999994,0.32,0.734,0.454,"[0.37, 0.0, 0.6, 0.5, 1.0]","[0.7, 0.4, 0.5, 0.0, 0.0]","[0.85, 0.62, 0.7, 0.75, 0.75]","[0.0, 0.77, 0.5, 1.0, 0.0]"
The city of Paris has more bridges than the city of London.,The city of Paris does not have more bridges than the city of London.,The city of Paris has at least 10 more bridges than the city of London.,The city of Paris has many bridges.,0.788,0.5980000000000001,0.41999999999999993,0.35,"[1.0, 0.6, 0.9, 0.69, 0.75]","[0.8, 0.5, 0.69, 0.25, 0.75]","[0.0, 0.5, 0.35, 0.7, 0.55]","[0.0, 1.0, 0.75, 0.0, 0.0]"
A cat in the city of New York is named Oscar.,A cat in the city of New York is not named Oscar.,A cat in the city of New York named Oscar has won a local pet beauty contest.,A cat in a city is named Oscar.,0.458,0.47000000000000003,0.43,0.34,"[0.55, 0.4, 0.0, 0.87, 0.47]","[0.2, 0.5, 0.65, 0.5, 0.5]","[0.5, 0.5, 0.4, 0.75, 0.0]","[0.3, 0.0, 0.0, 1.0, 0.4]"
The Great Pyramid of Giza contains undiscovered secret chambers.,The Great Pyramid of Giza does not contain undiscovered secret chambers.,The Great Pyramid of Giza contains at least three undiscovered secret chambers.,The Great Pyramid of Giza contains secret chambers.,0.674,0.414,0.43000000000000005,0.34,"[0.75, 0.4, 0.8, 0.8, 0.62]","[0.0, 0.69, 0.25, 0.4, 0.73]","[0.0, 0.5, 0.4, 0.45, 0.8]","[0.6, 0.5, 0.0, 0.6, 0.0]"
The Mona Lisa painting housed in the Louvre Museum contains hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum does not contain hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum contains at least three hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum contains symbols that have yet to be discovered.,0.784,0.614,0.61,0.466,"[0.77, 0.8, 0.95, 0.8, 0.6]","[0.5, 0.75, 0.5, 0.82, 0.5]","[0.75, 0.5, 0.65, 0.75, 0.4]","[0.5, 0.7, 0.0, 0.63, 0.5]"
Solar power is the most widely used renewable energy source worldwide.,Solar power is not the most widely used renewable energy source worldwide.,"Solar power is the most widely used renewable energy source worldwide, accounting for at least 40% of all renewable energy consumption.",Solar power is a widely used renewable energy source worldwide.,0.6100000000000001,0.3,0.4,0.7260000000000001,"[0.9, 0.6, 0.0, 0.7, 0.85]","[0.3, 0.7, 0.0, 0.5, 0.0]","[0.0, 0.5, 0.4, 0.6, 0.5]","[0.75, 0.99, 0.5, 0.6, 0.79]"
